	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
f_rf_inf_art																						Reproductive Technology (rf_inf_art) R	Reproductive Technology (rf_inf_art) R	Reproductive Technology (rf_inf_art) R	Reporting Flag for Reproductive Technology 0 Non-Reporting	Reporting Flag for Reproductive Technology 0 Non-Reporting	Reporting Flag for Reproductive Technology 0 Non-Reporting	Reporting Flag for Reproductive Technology 0 Non-Reporting	Reporting Flag for Reproductive Technology 0 Non-Reporting
f_rf_inf_drg																									Reporting Flag for Fertility Enhance Drugs 0 Non-Reporting	Reporting Flag for Fertility Enhance Drugs 0 Non-Reporting	Reporting Flag for Fertility Enhance Drugs 0 Non-Reporting	Reporting Flag for Fertility Enhance Drugs 0 Non-Reporting	Reporting Flag for Fertility Enhance Drugs 0 Non-Reporting
f_rf_inft																						Intertility Treatment (rf_inft) R	Intertility Treatment (rf_inft) R	Intertility Treatment (rf_inft) R	Reporting Flag for Infertility Treatment 0 Non-Reporting				
f_rf_inft_drg																						Fertility Enhance Drug (rf_inft_drg) R	Fertility Enhance Drug (rf_inft_drg) R	Fertility Enhance Drug (rf_inft_drg) R					
f_rf_ncesar																Number of Previous Cesareans R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Number of Previous Cesareans (rf_cesarn) R	Reporting Flag for Number of Previous Cesareans 0 Non-Reporting	Reporting Flag for Number of Previous Cesareans 0 Non-Reporting	Reporting Flag for Number of Previous Cesareans 0 Non-Reporting	Reporting Flag for Number of Previous Cesareans 0 Non-Reporting	Reporting Flag for Number of Previous Cesareans 0 Non-Reporting
f_rf_pdiab																Prepregnancy Diabetes R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Prepregnancy Diabetes (rf_diab) R	Reporting Flag for Pre-pregnancy Diabetes 0 Non-Reporting	Reporting Flag for Pre-pregnancy Diabetes 0 Non-Reporting	Reporting Flag for Pre-pregnancy Diabetes 0 Non-Reporting	Reporting Flag for Pre-pregnancy Diabetes 0 Non-Reporting	Reporting Flag for Pre-pregnancy Diabetes 0 Non-Reporting
f_rf_phyper																Prepregnancy Hypertension R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Prepregnancy Hypertension (rf_phyp) R	Reporting Flag for Pre-pregnancy Hypertension 0 Non-Reporting	Reporting Flag for Pre-pregnancy Hypertension 0 Non-Reporting	Reporting Flag for Pre-pregnancy Hypertension 0 Non-Reporting	Reporting Flag for Pre-pregnancy Hypertension 0 Non-Reporting	Reporting Flag for Pre-pregnancy Hypertension 0 Non-Reporting
f_rf_ppb																Previous Preterm Birth R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Previous Preterm Birth (rf_ppterm) R	Reporting Flag for Previous Preterm Birth 0 Non-Reporting	Reporting Flag for Previous Preterm Birth 0 Non-Reporting	Reporting Flag for Previous Preterm Birth 0 Non-Reporting	Reporting Flag for Previous Preterm Birth 0 Non-Reporting	Reporting Flag for Previous Preterm Birth 0 Non-Reporting
f_rf_ppo																Poor Pregnancy Outcomes R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R	Poor Pregnancy Outcomes (rf_ppoutc) R					
f_tobac														Tobacco use U	Tobacco use U	Tobacco use U	Tobacco use (tobuse) U	Tobacco use (tobuse) U	Tobacco use (tobuse) U										
f_tobaco														Tobacco use R	Tobacco use R	Tobacco use R	Tobacco use (cig_1	Tobacco use (cig_1	Tobacco use (cig_1	Tobacco use (cig_1	Tobacco use (cig_1	Tobacco use (cig_1	Tobacco use (cig_1	Tobacco use (cig_1	Reporting Flag for Tobacco use 0 Non-Reporting	Reporting Flag for Tobacco use 0 Non-Reporting	Reporting Flag for Tobacco use 0 Non-Reporting	Reporting Flag for Tobacco use 0 Non-Reporting	Reporting Flag for Tobacco use 0 Non-Reporting
f_tpcv																				Total Prenatal Care Visits (uprevis	Total Prenatal Care Visits (uprevis	Total Prenatal Care Visits (uprevis	Total Prenatal Care Visits (uprevis	Total Prenatal Care Visits (uprevis	Reporting Flag for Total Prenatal Care Visits 0 Non-Reporting	Reporting Flag for Total Prenatal Care Visits 0 Non-Reporting	Reporting Flag for Total Prenatal Care Visits 0 Non-Reporting	Reporting Flag for Total Prenatal Care Visits 0 Non-Reporting	Reporting Flag for Total Prenatal Care Visits 0 Non-Reporting
f_u_forcep															Forceps U	Forceps U	Forceps (ume_forcep) U	Forceps (ume_forcep) U;R	Forceps (ume_forcep) U;R	Forceps (ume_forcep) U;R	Forceps (ume_forcep) U;R	Forceps (ume_forcep) U;R	Forceps (ume_forcep) U;R	Forceps (ume_forcep) U;R					
f_u_primc															Primary C-Section U	Primary C-Section U	Primary C-Section (ume_primc) U	Primary C-Section (ume_primc) U	Primary C-Section (ume_primc) U										
f_u_repec															Repeat C-Section U	Repeat C-Section U	Repeat C-Section (ume_repec) U	Repeat C-Section (ume_repec) U	Repeat C-Section (ume_repec) U										
f_u_vac															Vacuum U	Vacuum U	Vacuum (ume_vac) U	Vacuum (ume_vac) U;R	Vacuum (ume_vac) U;R	Vacuum (ume_vac) U;R	Vacuum (ume_vac) U;R	Vacuum (ume_vac) U;R	Vacuum (ume_vac) U;R	Vacuum (ume_vac) U;R					
f_u_vag															Vaginal U	Vaginal U	Vaginal (ume_vag) U	Vaginal (ume_vag) U	Vaginal (ume_vag) U										
f_u_vbac															Vaginal after C-Section U	Vaginal after C-Section U	Vaginal after C-Section (ume_vbac) U	Vaginal after C-Section (ume_vbac) U	Vaginal after C-Section (ume_vbac) U										
f_uab_alcosyn															Fetal Alcohol Syndrome U	Fetal Alcohol Syndrome U	Fetal Alcohol Syndrome (uab_alcoh) U												
f_uab_anemia															Anemia U	Anemia U	Anemia (uab_anem) U												
f_uab_hyaline															Hyaline Membrane Disease U	Hyaline Membrane Disease U	Hyaline Membrane Disease (uab_hyal) U												
f_uab_injury															Birth Injury U	Birth Injury U	Birth Injury (uab_injury) U												
f_uab_meconsyn															Meconium Aspiration Syndrome U	Meconium Aspiration Syndrome U	Meconium Aspiration Syndrome (uab_mecon) U												
f_uab_otherab															Other Abnormal Conditions U	Other Abnormal Conditions U	Other Abnormal Conditions (uab_other) U												
f_uab_seiz															Seizures U	Seizures U	Seizures (uab_nseiz) U												
f_uab_ven30m															Assisted Ventilation &gt;=30 min U	Assisted Ventilation &gt;=30 min U	Assisted Ventilation &gt;=30 min (uab_ven30m) U												
f_uab_venl30															Assisted Ventilation &lt;30 min U	Assisted Ventilation &lt;30 min U	Assisted Ventilation &lt;30 min (uab_venl30) U												
f_uca_adactyl															Polydactyly/Syndactyly/Adactyly U	Polydactyly/Syndactyly/Adactyly U	Polydactyly/Syndactyly/Adactyly (uca_adactyly) U												
f_uca_anen															Anencephalus U	Anencephalus U	Anencephalus (uca_anen) U	Anencephalus (uca_anen) U;R	Anencephalus (uca_anen) U;R	Anencephalus (uca_anen) U;R	Anencephalus (uca_anen) U;R	Anencephalus (uca_anen) U;R	Anencephalus (uca_anen) U;R	Anencephalus (uca_anen) U;R					
f_uca_chromo															Other Chromosomal Anomalies U	Other Chromosomal Anomalies U	Other Chromosomal Anomalies (uca_chromo) U												
f_uca_circul															Other Circulatory/Respiratory Anomalies U	Other Circulatory/Respiratory Anomalies U	Other Circulatory/Respiratory Anomalies (uca_circ) U												
f_uca_cleftlp															Cleft Lip/Palate U	Cleft Lip/Palate U	Cleft Lip/Palate (uca_cleftlp) U	Cleft Lip/Palate (uca_cleftlp) U;R	Cleft Lip/Palate (uca_cleftlp) U;R	Cleft Lip/Palate (uca_cleftlp) U;R	Cleft Lip/Palate (uca_cleftlp) U;R	Cleft Lip/Palate (uca_cleftlp) U;R	Cleft Lip/Palate (uca_cleftlp) U;R	Cleft Lip/Palate (uca_cleftlp) U;R					
f_uca_club															Club Foot U	Club Foot U	Club Foot (uca_clubft) U												
f_uca_downs															Down Syndrome U	Down Syndrome U	Down Syndrome (ucs_downs) U	Down Syndrome (ucs_downs) U;R	Down Syndrome (ucs_downs) U;R	Down Syndrome (ucs_downs) U;R	Down Syndrome (ucs_downs) U;R	Down Syndrome (ucs_downs) U;R	Down Syndrome (ucs_downs) U;R	Down Syndrome (ucs_downs) U;R					
f_uca_gastro															Other Gastrointestinal Anomalies U	Other Gastrointestinal Anomalies U	Other Gastrointestinal Anomalies (uca_gastro) U												
f_uca_genital															Malformed Genitalia U	Malformed Genitalia U	Malformed Genitalia (uca_genital) U												
f_uca_heart															Heart malformations U	Heart malformations U	Heart malformations (uca_heart) U												
f_uca_hernia															Diaphragmatic Hernia U	Diaphragmatic Hernia U	Diaphragmatic Hernia (uca_hernia) U		Hernia (uca_hernia) U;R	Hernia (uca_hernia) U;R	Hernia (uca_hernia) U;R	Hernia (uca_hernia) U;R	Hernia (uca_hernia) U;R	Hernia (uca_hernia) U;R					
f_uca_hydro															Hydrocephalus U	Hydrocephalus U	Hydrocephalus (uca_hydro) U												
f_uca_microce															Microcephalus U	Microcephalus U	Microcephalus (uca_micro) U												
f_uca_musculo															Other Musculoskeletal Anomalies U	Other Musculoskeletal Anomalies U	Other Musculoskeletal Anomalies (uca_muscu) U												
f_uca_nervous															Other Central Nervous System Anomalies U	Other Central Nervous System Anomalies U	Other Central Nervous System Anomalies (uca_nerv) U												
f_uca_omphalo															Omphalocele/Gastroschisis U	Omphalocele/Gastroschisis U	Omphalocele/Gastroschisis (uca_ompha) U	Omphalocele/Gastroschisis (uca_ompha) U;R	Omphalocele/Gastroschisis (uca_ompha) U;R	Omphalocele/Gastroschisis (uca_ompha) U;R	Omphalocele/Gastroschisis (uca_ompha) U;R	Omphalocele/Gastroschisis (uca_ompha) U;R	Omphalocele/Gastroschisis (uca_ompha) U;R	Omphalocele/Gastroschisis (uca_ompha) U;R					
f_uca_othrcon															Other Congenital Anomalies U	Other Congenital Anomalies U	Other Congenital Anomalies (uca_other) U												
f_uca_rectal															Rectal Atresia/Stenosis U	Rectal Atresia/Stenosis U	Rectal Atresia/Stenosis (uca_rectal) U												
f_uca_renalag															Renal Agenesis U	Renal Agenesis U	Renal Agenesis (uca_renal) U												
f_uca_spina															Spina bifida/Meningocele U	Spina bifida/Meningocele U	Spina bifida/Meningocele (uca_spina) U	Spina bifida/Meningocele (uca_spina) U;R	Spina bifida/Meningocele (uca_spina) U;R	Spina bifida/Meningocele (uca_spina) U;R	Spina bifida/Meningocele (uca_spina) U;R	Spina bifida/Meningocele (uca_spina) U;R	Spina bifida/Meningocele (uca_spina) U;R	Spina bifida/Meningocele (uca_spina) U;R					
f_uca_tracheo															Tracheo-Esophageal Fistula U	Tracheo-Esophageal Fistula U	Tracheo-Esophageal Fistula (uca_trach) U												
f_uca_urogen															Other Urogenital Anomalies U	Other Urogenital Anomalies U	Other Urogenital Anomalies (uca_urogen) U												
f_uld_abruptio															Abruptio placenta U	Abruptio placenta U	Abruptio placenta (uld_abrup) U												
f_uld_anest															Anesthetic Complications U	Anesthetic Complications U	Anesthetic Complications (uld_anest) U												
f_uld_breech															Breech U	Breech U	Breech (uld_breech) U	Breech (uld_breech) U;R	Breech (uld_breech) U;R	Breech (uld_breech) U;R	Breech (uld_breech) U;R	Breech (uld_breech) U;R	Breech (uld_breech) U;R	Breech (uld_breech) U;R					
f_uld_cephalo															Cephalopelvic Disproportion U	Cephalopelvic Disproportion U	Cephalopelvic Disproportion (uld_cephal) U												
f_uld_cord															Cord Prolapse U	Cord Prolapse U	Cord Prolapse (uld_cord) U												
f_uld_distr															Fetal Distress U	Fetal Distress U	Fetal Distress (uld_distr) U												
f_uld_dysfunc															Dysfunctional Labor U	Dysfunctional Labor U	Dysfunctional Labor (uld_dysfn) U												
f_uld_excebld															Other Excessive Bleeding U	Other Excessive Bleeding U	Other Excessive Bleeding (uld_excbl) U												
f_uld_febrile															Febrile U	Febrile U	Febrile (uld_febr) U												
f_uld_meconium															Meconium U	Meconium U	Meconium (uld_mecs) U	Meconium (uld_mecs) U;R	Meconium (uld_mecs) U;R	Meconium (uld_mecs) U;R	Meconium (uld_mecs) U;R	Meconium (uld_mecs) U;R	Meconium (uld_mecs) U;R	Meconium (uld_mecs) U;R					
f_uld_other															Other Complications U	Other Complications U	Other Complications (uld_other) U												
f_uld_precip															Precipitous labor U	Precipitous labor U	Precipitous labor (uld_precip) U	Precipitous labor (uld_precip) U;R	Precipitous labor (uld_precip) U;R	Precipitous labor (uld_precip) U;R	Precipitous labor (uld_precip) U;R	Precipitous labor (uld_precip) U;R	Precipitous labor (uld_precip) U;R	Precipitous labor (uld_precip) U;R					
f_uld_preplace															Placenta previa U	Placenta previa U	Placenta previa (uld_prepla) U												
f_uld_prolg															Prolonged Labor U	Prolonged Labor U	Prolonged Labor (uld_prolg) U												
f_uld_rupture															Premature Rupture of Membrane U	Premature Rupture of Membrane U	Premature Rupture of Membrane (uld_ruptr) U												
f_uld_seizure															Seizures During Labor U	Seizures During Labor U	Seizures During Labor (uld_seiz) U												
f_uob_amnio															Amniocentesis U	Amniocentesis U	Amniocentesis U												
f_uob_induct															Induction of labor U	Induction of labor U	Induction of labor U	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R	Induction of labor U;R					
f_uob_monitor															Electronic Fetal Monitoring U	Electronic Fetal Monitoring U	Electronic Fetal Monitoring U												
f_uob_otherob															Other Obstetric Procedures U	Other Obstetric Procedures U	Other Obstetric Procedures U												
f_uob_stimul															Stimulation of labor U	Stimulation of labor U	Stimulation of labor U												
f_uob_tocol															Tocolysis U	Tocolysis U	Tocolysis U	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R	Tocolysis U;R					
f_uob_ultras															Ultrasound U	Ultrasound U	Ultrasound U												
f_urf_anemia															Anemia U	Anemia U	Anemia (urf_anemia) U												
f_urf_cardiac															Cardiac U	Cardiac U	Cardiac (urf_card) U												
f_urf_chyper															Chronic Hypertension U	Chronic Hypertension U	Chronic Hypertension (urf_chyper) U	Chronic Hypertension (urf_chyper) U;R	Chronic Hypertension (urf_chyper) U;R	Chronic Hypertension (urf_chyper) U;R	Chronic Hypertension (urf_chyper) U;R	Chronic Hypertension (urf_chyper) U;R	Chronic Hypertension (urf_chyper) U;R	Chronic Hypertension (urf_chyper) U;R					
f_urf_diabetes															Diabetes U	Diabetes U	Diabetes (urf_diab) U	Diabetes (urf_diab) U;R	Diabetes (urf_diab) U;R	Diabetes (urf_diab) U;R	Diabetes (urf_diab) U;R	Diabetes (urf_diab) U;R	Diabetes (urf_diab) U;R	Diabetes (urf_diab) U;R					
f_urf_eclamp															Eclampsia U	Eclampsia U	Eclampsia (urf_eclam) U	Eclampsia (urf_eclam) U;R	Eclampsia (urf_eclam) U;R	Eclampsia (urf_eclam) U;R	Eclampsia (urf_eclam) U;R	Eclampsia (urf_eclam) U;R	Eclampsia (urf_eclam) U;R	Eclampsia (urf_eclam) U;R					
f_urf_hemo															Hemoglobinopathy U	Hemoglobinopathy U	Hemoglobinopathy (urf_hemo) U												
f_urf_herpes															Genital Herpes U	Genital Herpes U	Genital Herpes (urf_gen) U												
f_urf_hydra															Hydramnios/Oligohydramnios U	Hydramnios/Oligohydramnios U	Hydramnios/Oligohydramnios (urf_hydra) U												
f_urf_incervix															Incompetent Cervix U	Incompetent Cervix U	Incompetent Cervix (urf_incerv) U												
f_urf_lung															Acute or Chronic Lung Disease U	Acute or Chronic Lung Disease U	Acute or Chronic Lung Disease (urf_lung) U												
f_urf_othermr															Other Medical Risk Factors U	Other Medical Risk Factors U	Other Medical Risk Factors (urf_other) U												
f_urf_phyper															Pregnancy Associated Hypertension U	Pregnancy Associated Hypertension U	Pregnancy Associated Hypertension (urf_phyper) U	Pregnancy Associated Hypertension (urf_phyper) U;R	Pregnancy Associated Hypertension (urf_phyper) U;R	Pregnancy Associated Hypertension (urf_phyper) U;R	Pregnancy Associated Hypertension (urf_phyper) U;R	Pregnancy Associated Hypertension (urf_phyper) U;R	Pregnancy Associated Hypertension (urf_phyper) U;R	Pregnancy Associated Hypertension (urf_phyper) U;R					
f_urf_pre4000															Previous Infant 4000+ Grams U	Previous Infant 4000+ Grams U	Previous Infant 4000+ Grams (urf_pre4000) U												
